Date,Acting User,Record Updated,Command,Pixels Changed
"Mar 14, 2019 - 5:40:47 PM",RabbitTales,yet_tea,Add,10
"Mar 14, 2019 - 5:40:57 PM",RabbitTales,yet_tea,Add,-10
"Mar 14, 2019 - 6:09:49 PM",PixelBot-Raid,hdcfabrication,Add,14
"Mar 14, 2019 - 6:19:34 PM",PixelBot-Resub,alicatfiberarts,Add,10
"Mar 14, 2019 - 6:27:41 PM",RabbitTales,raynestorm1987,Add,10
"Mar 14, 2019 - 7:22:00 PM",PixelBot-Raid,devicat,Add,50
"Mar 14, 2019 - 7:32:24 PM",RabbitTales,quiltoni,Add,10
"Mar 14, 2019 - 7:45:39 PM",PixelBot-SubGifter,gryphonrootflyer,Add,2
"Mar 14, 2019 - 7:45:40 PM",PixelBot-SubGift,hesterbyrde,Add,10
"Mar 14, 2019 - 7:55:56 PM",PixelBot-SubGifter,gryphonrootflyer,Add,2
"Mar 14, 2019 - 7:55:57 PM",PixelBot-SubGift,shilyre,Add,10
"Mar 14, 2019 - 8:06:20 PM",RabbitTales,happycatastrophe,Add,10
"Mar 14, 2019 - 8:32:40 PM",PixelBot-Resub,krys_turtle,Add,10
"Mar 19, 2019 - 5:43:44 PM",DryadTea,dryadtea,Add,10
"Mar 19, 2019 - 6:19:27 PM",PixelBot-Resub,slippery_slope,Add,10
"Mar 19, 2019 - 6:31:50 PM",PixelBot-Resub,chargersnowflake1023,Add,10
"Mar 19, 2019 - 6:32:13 PM",PixelBot-SubGifter,maximumhomerdrive,Add,2
"Mar 19, 2019 - 6:32:14 PM",PixelBot-SubGift,muffinroyalty,Add,10
"Mar 19, 2019 - 6:32:51 PM",PixelBot-SubGifter,chargersnowflake1023,Add,2
"Mar 19, 2019 - 6:32:52 PM",PixelBot-SubGift,maximumhomerdrive,Add,10
"Mar 19, 2019 - 6:59:38 PM",PixelBot-SubGifter,bootblackknight,Add,2
"Mar 19, 2019 - 6:59:39 PM",PixelBot-SubGift,devicat,Add,10
"Mar 19, 2019 - 7:02:19 PM",PixelBot-SubGifter,chargersnowflake1023,Add,2
"Mar 19, 2019 - 7:02:20 PM",PixelBot-SubGift,hatchlingmiquela,Add,10
"Mar 19, 2019 - 7:04:53 PM",PixelBot-SubGifter,chargersnowflake1023,Add,2
"Mar 19, 2019 - 7:04:54 PM",PixelBot-SubGift,mommabearz,Add,10
"Mar 19, 2019 - 7:07:07 PM",DryadTea,bootblackknight,ChatterPixels,1
"Mar 19, 2019 - 7:07:07 PM",DryadTea,dryadteabot,ChatterPixels,1
"Mar 19, 2019 - 7:07:07 PM",DryadTea,jekkceo,ChatterPixels,1
"Mar 19, 2019 - 7:07:07 PM",DryadTea,rabbittales,ChatterPixels,1
"Mar 19, 2019 - 7:07:07 PM",DryadTea,streamelements,ChatterPixels,1
"Mar 19, 2019 - 7:07:07 PM",DryadTea,yet_tea,ChatterPixels,1
"Mar 19, 2019 - 7:07:07 PM",DryadTea,3gingerhaze3,ChatterPixels,1
"Mar 19, 2019 - 7:07:07 PM",DryadTea,bananennanen,ChatterPixels,1
